index,date,hour,Category,District,count,weather,dayoff
485,2019-01-05,13,2,0,1,-4.925000000000001,1
486,2019-01-05,13,2,3,2,-4.925000000000001,1
487,2019-01-05,13,2,7,1,-4.925000000000001,1
488,2019-01-05,13,2,11,2,-4.925000000000001,1
489,2019-01-05,13,2,14,2,-4.925000000000001,1
490,2019-01-05,13,2,16,1,-4.925000000000001,1
491,2019-01-05,13,4,7,1,-4.925000000000001,1
492,2019-01-05,13,5,1,1,-4.925000000000001,1
493,2019-01-05,14,1,16,1,-4.925000000000001,1
494,2019-01-05,14,2,3,2,-4.925000000000001,1
495,2019-01-05,14,4,11,2,-4.925000000000001,1
496,2019-01-05,15,2,4,1,-4.925000000000001,1
497,2019-01-05,15,2,6,3,-4.925000000000001,1
498,2019-01-05,15,2,7,1,-4.925000000000001,1
499,2019-01-05,15,2,8,1,-4.925000000000001,1
500,2019-01-05,15,2,14,2,-4.925000000000001,1
501,2019-01-05,15,4,2,1,-4.925000000000001,1
502,2019-01-05,15,4,11,1,-4.925000000000001,1
503,2019-01-05,15,5,1,2,-4.925000000000001,1
504,2019-01-05,15,5,13,1,-4.925000000000001,1
505,2019-01-05,16,2,7,2,-4.925000000000001,1
506,2019-01-05,16,2,8,1,-4.925000000000001,1
507,2019-01-05,16,4,1,1,-4.925000000000001,1
508,2019-01-05,16,4,2,1,-4.925000000000001,1
509,2019-01-05,16,5,1,1,-4.925000000000001,1
510,2019-01-05,16,5,9,1,-4.925000000000001,1
511,2019-01-05,17,1,11,1,-4.925000000000001,1
512,2019-01-05,17,2,5,1,-4.925000000000001,1
513,2019-01-05,17,2,9,1,-4.925000000000001,1
514,2019-01-05,17,4,3,2,-4.925000000000001,1
515,2019-01-05,17,5,0,2,-4.925000000000001,1
516,2019-01-05,17,5,1,1,-4.925000000000001,1
517,2019-01-05,17,5,12,1,-4.925000000000001,1
518,2019-01-05,18,2,0,1,-4.925000000000001,1
519,2019-01-05,18,2,7,1,-4.925000000000001,1
520,2019-01-05,18,2,15,1,-4.925000000000001,1
521,2019-01-05,18,4,14,1,-4.925000000000001,1
522,2019-01-05,18,4,15,2,-4.925000000000001,1
523,2019-01-05,18,5,2,1,-4.925000000000001,1
524,2019-01-05,18,5,8,2,-4.925000000000001,1
525,2019-01-05,18,5,10,1,-4.925000000000001,1
526,2019-01-05,19,2,6,1,-4.925000000000001,1
